name,,year,seller_type,owner,km_driven,ex_showroom_price,selling_price
Royal Enfield Classic 350,,2019,Individual,1st owner,350,,175000
Honda Dio,,2017,Individual,1st owner,5650,,45000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,12000,148114,150000
Yamaha Fazer FI V 2.0 [2016-2018],,2015,Individual,1st owner,23000,89643,65000
Yamaha SZ [2013-2014],,2011,Individual,2nd owner,21000,,20000
Honda CB Twister,,2010,Individual,1st owner,60000,53857,18000
Honda CB Hornet 160R,,2018,Individual,1st owner,17000,87719,78500
Royal Enfield Bullet 350 [2007-2011],,2008,Individual,2nd owner,39000,,180000
Hero Honda CBZ extreme,,2010,Individual,1st owner,32000,,30000
Bajaj Discover 125,,2016,Individual,1st owner,42000,60122,50000
Yamaha FZ16,,2015,Individual,1st owner,32000,78712,35000
Honda Navi,,2016,Individual,2nd owner,10000,47255,28000
Bajaj Avenger Street 220,,2018,Individual,1st owner,21178,95955,80000
Yamaha YZF R3,,2019,Individual,1st owner,1127,351680,365000
Jawa 42,,2020,Individual,1st owner,1700,,185000
Suzuki Access 125 [2007-2016],,2012,Individual,1st owner,55000,58314,25000
Hero Honda Glamour,,2006,Individual,1st owner,27000,,25000
Yamaha YZF R15 S,,2010,Individual,2nd owner,45000,117926,40000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,23000,148114,150000
Yamaha FZ25,,2018,Individual,1st owner,39000,132680,120000
Hero Passion Pro 110,,2008,Individual,1st owner,60000,,15000
Honda Navi [2016-2017],,2016,Individual,1st owner,17450,44389,26000
Honda Activa i,,2013,Individual,2nd owner,20696,53900,32000
Jawa Standard,,2019,Individual,1st owner,2000,,180000
Royal Enfield Thunderbird 350,,2016,Individual,1st owner,20000,,110000
Honda Dream Yuga,,2012,Individual,1st owner,35000,56147,25000
TVS Apache RTR 160 4V,,2018,Individual,1st owner,15210,,80000
Honda Navi [2016-2017],,2017,Individual,1st owner,24000,44389,42000
Yamaha Fazer [2009-2016],,2013,Individual,3rd owner,35000,84751,40000
Hero Honda Splendor NXG,,2009,Individual,1st owner,10000,,21000
Hero Glamour 125,,2017,Individual,1st owner,2500,61600,55000
Yamaha FZ S [2012-2016],,2013,Individual,1st owner,75000,79432,38000
Hero Xtreme Sports,,2016,Individual,2nd owner,50000,78350,43000
Honda X-Blade,,2018,Individual,1st owner,27000,,65000
Honda CB Shine SP,,2019,Individual,1st owner,10000,71049,62000
Honda Activa 5G,,2018,Individual,1st owner,6502,57557,60000
Hero Glamour 125,,2018,Individual,1st owner,21000,61600,45000
Honda CBR-250R,,2016,Individual,1st owner,16000,202310,120000
Hero Honda Passion PRO [2012],,2011,Individual,1st owner,42000,,30000
Royal Enfield Thunderbird 350,,2015,Individual,3rd owner,13000,,90000
Bajaj Dominar 400,,2017,Individual,1st owner,12800,,125000
Hero Glamour FI,,2018,Individual,1st owner,20000,71150,50000
KTM 390 Duke,,2017,Individual,1st owner,4600,,175000
Hero Passion XPro,,2012,Individual,1st owner,81000,56750,28000
Yamaha FZ S V 2.0,,2018,Individual,1st owner,8000,84042,85000
Hero Achiever 150,,2016,Individual,1st owner,55000,69750,29900
Bajaj Discover 125,,2011,Individual,1st owner,57000,60122,25000
Yamaha FZ16,,2009,Individual,2nd owner,26000,78712,30000
Yamaha Saluto,,2018,Individual,1st owner,13000,59844,60000
Yamaha FZ16,,2012,Individual,2nd owner,29000,78712,35000
Bajaj Discover 100,,2010,Individual,1st owner,43000,42859,25000
Honda CB Trigger,,2015,Individual,1st owner,40000,73413,30000
Royal Enfield Electra 5 S,,2010,Individual,2nd owner,40000,,90000
Hero Splendor PRO,,2015,Individual,2nd owner,24000,49900,35000
Honda Activa 5G,,2019,Individual,1st owner,3000,59422,70000
Hero Honda Passion Plus,,2006,Individual,1st owner,75000,,25000
Bajaj Pulsar 150,,2010,Individual,1st owner,42000,,25000
Royal Enfield Bullet 350,,2014,Individual,1st owner,13000,,90000
Bajaj Discover 125,,2013,Individual,1st owner,55000,57549,25000
Bajaj Pulsar 150 [2001-2011],,2011,Individual,1st owner,23000,,42000
Hero Splendor PRO,,2015,Individual,2nd owner,24000,51994,35000
Hero Xtreme Sports,,2014,Individual,1st owner,80000,80350,50000
Honda Activa 3G,,2015,Individual,1st owner,39000,54605,30000
Yamaha FZ16,,2016,Individual,1st owner,20000,78712,48000
Honda CB Hornet 160R,,2016,Individual,1st owner,30000,88161,65000
Royal Enfield Thunderbird 350,,2013,Individual,1st owner,21000,,85000
Hero Hunk,,2014,Individual,1st owner,41000,78513,45000
Suzuki Let''s,,2014,Individual,1st owner,8000,50098,34000
Royal Enfield Electra 4 S,,2008,Individual,1st owner,50000,,90000
TVS Scooty Pep Plus,,2012,Individual,1st owner,8150,,35000
Mahindra Mojo XT300,,2017,Individual,1st owner,1933,195500,165000
TVS Apache RTR 160,,2013,Individual,1st owner,55750,,35000
Bajaj Pulsar AS200,,2015,Individual,1st owner,15856,92074,65000
Bajaj Pulsar 150,,2013,Individual,1st owner,27000,,29500
Royal Enfield Thunderbird 350X,,2019,Individual,1st owner,3700,164004,165000
Suzuki Intruder 150,,2018,Individual,1st owner,21938,,95000
Hero Honda Karizma ZMR [2010],,2010,Individual,1st owner,48000,,50000
Honda Dio,,2009,Individual,2nd owner,16000,,7500
Bajaj Xcd,,2008,Individual,1st owner,54000,,25000
Hero Splendor Plus,,2014,Individual,2nd owner,35000,,35000
Royal Enfield Thunderbird 350X,,2018,Individual,1st owner,15000,,160000
Honda CB Unicorn 150,,2014,Individual,1st owner,32000,74295,50000
Honda Activa 5G,,2019,Individual,1st owner,3500,57557,62000
Honda CB Twister,,2013,Individual,1st owner,9000,53857,30000
Hero Splendor PRO,,2015,Individual,1st owner,38000,49642,28000
Hero Honda CD Deluxe,,2009,Individual,1st owner,50000,,25000
Honda Activa i [2016-2017],,2015,Individual,2nd owner,20000,51112,30000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,22000,148114,140000
TVS Scooty Zest 110,,2017,Individual,1st owner,9432,53751,30000
Hero CD Deluxe,,2014,Individual,1st owner,70000,,25000
Suzuki Access 125 [2007-2016],,2010,Individual,2nd owner,43000,58314,22000
Honda Activa [2000-2015],,2012,Individual,1st owner,500000,50267,22989
Honda Activa 125 [2016-2017],,2016,Individual,1st owner,30514,61653,42000
Suzuki GS150R,,2010,Individual,1st owner,130000,70851,30000
Bajaj Pulsar 220S,,2015,Individual,1st owner,45000,,55000
Honda Activa 4G,,2018,Individual,1st owner,25000,53079,45000
Yamaha FZ25,,2019,Individual,1st owner,2500,133680,150000
Bajaj Pulsar 150,,2015,Individual,1st owner,22770,,42000
Hero Splendor Plus,,2015,Individual,1st owner,30000,,30000
Bajaj Discover 100,,2012,Individual,2nd owner,35000,42859,24999
Royal Enfield Thunderbird 350X,,2019,Individual,1st owner,6330,,160000
Royal Enfield Classic 350,,2020,Individual,1st owner,500,,175000
Bajaj Pulsar 150,,2013,Individual,1st owner,43400,,40000
Bajaj Pulsar NS160,,2018,Individual,1st owner,7004,,85000
Royal Enfield Classic Desert Storm,,2017,Individual,1st owner,16500,181445,150000
Suzuki Gixxer SF,,2018,Individual,1st owner,12500,,80000
